conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1965251311475290149,Wed Sep 10 01:08:16 +0000 2025,3,@renedecrates @MurtadhaOne1 Sama aja bobroknya. Beda di prioritas kebobrokan aja dan cara mainnya. Si Wowo kemampuan politiknya jauh di bawah Mulyono makanya terang-terangan nunjuk orang yang kaga becus kerja begini. PS dia dan antek nya jelek semua. Meanwhile si Mul jago carmuk tapi bobrokkin dari dalam.,1965583067600617741,,renedecrates,in,,0,0,0,https://x.com/undefined/status/1965583067600617741,1432762650975301632,
1965580855130370377,Wed Sep 10 00:59:29 +0000 2025,0,Sikat habis ternak mulyono.,1965580855130370377,,,in,,0,0,0,https://x.com/undefined/status/1965580855130370377,1730955716117327872,
1965546979569909977,Wed Sep 10 00:59:03 +0000 2025,1,@abu_waras Si mulyono nonton ini ga ya?,1965580745197732310,,abu_waras,in,,0,0,0,https://x.com/undefined/status/1965580745197732310,1141184012372738050,
1965463595761930376,Wed Sep 10 00:58:33 +0000 2025,1,@randomable_ Saya tidak mengatakan sri mulyani jago sayajuga bilang sri mulyani keteteran. Itu efek amburadul nya Mulyono.,1965580621503439084,,25MIQ25,in,,0,0,0,https://x.com/undefined/status/1965580621503439084,1773677265496489984,
1965580330917859607,Wed Sep 10 00:57:24 +0000 2025,4,Sikat habis ternak Mulyono.,1965580330917859607,,,in,,0,0,1,https://x.com/undefined/status/1965580330917859607,1730955716117327872,
1965273603257286944,Wed Sep 10 00:56:57 +0000 2025,1,@ismoyopodo @kurogiri19 @buatnyampah_ @BasmanCobra @ike_hw71 @prabowo @DPR_RI Gaada yg lainnya suci sama aja semua. Mulyono juga dibisiki gak mungkin melakukan kekotorannya sendiri!!!,1965580217969500499,,ismoyopodo,in,,0,1,0,https://x.com/undefined/status/1965580217969500499,2286739886,
1965563740939845747,Wed Sep 10 00:56:01 +0000 2025,0,@OposisiCerdas Bukan kebijakan Sri tp mulyono. Ingat Mentri hanya pembantu,1965579984053174546,,OposisiCerdas,in,,0,0,0,https://x.com/undefined/status/1965579984053174546,1119447842639110145,
1965579411392221550,Wed Sep 10 00:53:45 +0000 2025,0,MULYONO: Kamu mampir gih ke tempat orang lain biar pas nyalon Pemilu 2029 banyak simpatisannya ,1965579411392221550,,,in,,0,0,0,https://x.com/undefined/status/1965579411392221550,2615684046,
1965391295888924871,Wed Sep 10 00:53:01 +0000 2025,0,@TheInsiderPaper mulyono bahlil luhut fufufafa sahroni uya kuya eko patrio wowok and many others WHEEEENNN,1965579227480404245,,TheInsiderPaper,in,,0,0,0,https://x.com/undefined/status/1965579227480404245,1179995582883975168,
1965572147721744826,Wed Sep 10 00:50:14 +0000 2025,1,@hi_berlian Disono kalah lihai dng mulyono yg jadikan termul kepolisian,1965578529820860851,,hi_berlian,in,,0,0,0,https://x.com/undefined/status/1965578529820860851,1135086952720420864,
1965349987900137987,Wed Sep 10 00:49:19 +0000 2025,0,@azamuddin91 ternak mulyono,1965578296466514344,,azamuddin91,in,,0,0,0,https://x.com/undefined/status/1965578296466514344,1178581333750059008,
